ID,Date,Symbol,Code,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Previous Close
321,4-Jul-25,HINO,801,Hinopak Motor,434,434,414,423.95,12301,428.07
322,4-Jul-25,HINOON,823,Highnoon (Lab),1005,1019,991,993.1,13763,1007.05
323,4-Jul-25,HIRAT,830,Hira Textile,4.3,4.3,4.1,4.14,1283079,4.14
324,4-Jul-25,HMB,807,Habib Metropolitan,103.94,107.49,102.05,106.11,520199,103.94
325,4-Jul-25,HPL,823,Hoechst Pak Ltd,3398.01,3400,3398,3368.02,5,3368.02
326,4-Jul-25,HRPL,826,Habib Rice Prod,32.5,34,30.51,33,2107,31.91
327,4-Jul-25,HTL,821,HI-Tech Lub.,43.92,44.68,43.65,44.37,130268,43.92
328,4-Jul-25,HUBC,824,Hub Power Co.,141.91,143.7,141.8,142.07,4204510,141.4
329,4-Jul-25,HUBC-AUG,40,Hub Power Co.,0,0,0,145.3,0,144.79
330,4-Jul-25,HUBC-JUL,40,Hub Power Co.,142.5,144.4,142.5,142.88,892000,142.18
331,4-Jul-25,HUBC-SEP,40,Hub Power Co.,0,0,0,146.98,0,146.46
332,4-Jul-25,HUMNL,828,Hum Network,12.75,13.32,12.52,12.77,13268977,12.63
333,4-Jul-25,HUMNL-AUG,40,Hum Network,0,0,0,13.06,0,12.93
334,4-Jul-25,HUMNL-JUL,40,Hum Network,12.95,13.4,12.67,12.89,1426000,12.72
335,4-Jul-25,HUMNL-SEP,40,Hum Network,0,0,0,13.21,0,13.08
336,4-Jul-25,HUSI,838,Hussain Industries,28.98,28.98,28.98,27.94,22,27.94
337,4-Jul-25,HWQS,826,Haseeb Waqas Sugar,20.59,20.59,19.88,20.59,810200,18.72
338,4-Jul-25,IBFL,827,Ibrahim Fibres,349,349,330,334.07,117,334.07
339,4-Jul-25,IBLHL,823,IBL HealthCare,63.5,65.48,58.15,64.55,1192489,63.46
340,4-Jul-25,ICCI,831,ICC Industries,12.49,12.49,11.71,12.22,9072,12.28
341,4-Jul-25,ICIBL,813,Invest Bank,10.26,10.57,9.81,9.96,6757762,10.45
342,4-Jul-25,ICL,805,Ittehad Chemicals,79,82.5,78.1,78.56,4623,79
343,4-Jul-25,IDRT,830,Idrees Textile,21.4,21.4,19.01,20.68,167094,21.12
344,4-Jul-25,IDSM,830,Ideal Spinning,25.29,25.29,25.29,25.29,3245,22.99
345,4-Jul-25,IDYM,830,Indus Dyeing,170,184.99,167.2,182.46,108957,170.25
346,4-Jul-25,IGIHL,812,IGI Holdings,249.89,265.49,240,257.67,759503,244.53
347,4-Jul-25,IGIL,812,IGI Life Ins,20.2,20.2,19.05,20,679,19.96
348,4-Jul-25,ILP,829,Interloop Ltd.,67.3,69.25,66.7,68.57,588727,67.3
349,4-Jul-25,ILP-AUG,40,Interloop Ltd.,0,0,0,70.13,0,68.92
350,4-Jul-25,ILP-JUL,40,Interloop Ltd.,67.5,69,67.5,69,3500,67.62
351,4-Jul-25,ILP-SEP,40,Interloop Ltd.,0,0,0,70.94,0,69.71
352,4-Jul-25,IMAGE,827,Image Pakistan,32.89,35.4,32,33.24,25392814,32.47
353,4-Jul-25,IMAGE-AUG,40,Image Pakistan,0,0,0,34,0,32.8
354,4-Jul-25,IMAGE-JULB,40,Image Pakistan,32.9,35.5,32.22,33.47,7934000,32.82
355,4-Jul-25,IMAGE-SEP,40,Image Pakistan,0,0,0,34.39,0,33.63
356,4-Jul-25,IML,813,Imperial Limite,17.38,18,17,17.07,17690,17.25
357,4-Jul-25,IMS,813,Intermarket Sec.,9.5,9.61,8.81,9.28,4461610,9.46
358,4-Jul-25,INDU,801,Indus Motor Co.,1891.6,1904.99,1865.01,1900.61,9211,1891.61
359,4-Jul-25,INIL,808,Int. Ind.Ltd.,193.99,194.7,190.5,192.68,238666,194
360,4-Jul-25,INIL-AUG,40,Int. Ind.Ltd.,0,0,0,197.06,0,198.66
361,4-Jul-25,INIL-JUL,40,Int. Ind.Ltd.,192.01,195,191.5,193,35000,194.87
362,4-Jul-25,INIL-SEP,40,Int. Ind.Ltd.,0,0,0,199.33,0,200.94
363,4-Jul-25,INKL,829,Int.Knitwear,21.5,21.5,20.51,21.14,17753,20.77
364,4-Jul-25,IPAK,822,Int. Packaging Films,23.02,23.2,22.9,23,136973,22.99
365,4-Jul-25,ISIL,810,Ismail Ind-,1875.75,1875.75,1858,1859.35,28,1848.75
366,4-Jul-25,ISL,808,Inter.Steel Ltd,96.5,99.2,94.17,97.65,954500,96.02
367,4-Jul-25,ISL-AUG,40,Inter.Steel Ltd,0,0,0,99.87,0,98.32
368,4-Jul-25,ISL-JUL,40,Inter.Steel Ltd,97,99.55,95,97.66,207500,96.61
369,4-Jul-25,ISL-SEP,40,Inter.Steel Ltd,0,0,0,101.02,0,99.46
370,4-Jul-25,ITTEFAQ,808,Ittefaq Iron Ind,9.28,9.3,8.95,9,1274523,9.13
371,4-Jul-25,JATM,830,J.A.Textile,29.28,30,28.01,28.02,5853,27.82
